"","long","lat","order","hole","piece","id","group","province","institution","participants","teacher_facilitator","classes","classroom","kindergarten","playgroup","daycare","sps","all_2017_2018","all_2018_2019","all_2019_2020","all_2020_2021","stud_tk","stud_kb","stud_tpa","stud_sps","stud_2017_2018","stud_2018_2019","stud_2019_2020","stud_2020_2021","teacher_tk","teacher_kb","teacher_tpa","teacher_sps","teacher_2017_2018","teacher_2018_2019","teacher_2019_2020","teacher_2020_2021","tk_classsize","tk_stu_teacher","kb_classsize","tpa_classsize","sps_classsize","kb_stu_teach","tpa_stu_teach","sps_stu_teach"
"48",95.9033611,2.89636790000003,48,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"49",95.880654,2.82588760000004,49,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"50",96.1319006,2.73107620000008,50,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"51",96.1056486,2.63665600000007,51,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"52",96.1918313,2.61724700000002,52,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"53",96.1630652000001,2.67932310000003,53,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"54",96.3840677000001,2.45636240000005,54,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"55",96.4042220000001,2.51261280000006,55,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"56",96.4537592,2.47613440000003,56,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"57",96.4987016000001,2.36322600000005,57,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
